,id,text
33,1352995539453956099,"Süper Lig'in 21. haftasında #Trabzonspor, #Gençlerbirliği'ni deplasmanda 2-1'lik skorla devirdi.

⚽️36' Djaniny
⚽️5… https://t.co/sW8m3yHOSd"
34,1352995446852083714,"Trabzonspor, deplasmanda Gençlerbirliği'ni 2-1 mağlup etti.. 

Trabzonspor'un gollerini Djaniny ve Ekuban kaydetti.… https://t.co/gDrwvnjp7n"
35,1352995402086305792,"Süper Lig'in 21. haftasında Trabzonspor, Gençlerbirliği'ni deplasmanda 2-1'lik skorla devirdi.

⚽️36' Djaniny
⚽️54'… https://t.co/cr2LJ1bU7K"
36,1352995376308084740,"@kirmizikara Bu takımdan, Sio, Ayite, Furman, Piris, Stancu, Candeias, Sefa, Murat, ( Mustafa ) acilen gönderilip b… https://t.co/MxP9Gy6LaD"
37,1352995178991259648,"🇹🇷 MS: Gençlerbirliği 1-2 Trabzonspor
⚽️ 86' Piris (P)

⚽️ 36' Djaniny
⚽️ 54' Ekuban https://t.co/5FFNbI71VV"
38,1352995173127626752,"GENÇLER FIRTINAYA YAKALANDI!

Trabzonspor, Süper Lig'in 21. haftasında deplasmanda Gençlerbirliği'ni 2-1 mağlup ett… https://t.co/amLxbXpe8B"
39,1352995108568883200,"Maç sonucu | Gençlerbirliği 1-2 Trabzonspor

⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris(P)"
40,1352994942591840257,"GOL GENÇLERBİRLİĞİ 1-2 Piris Da Motta (P) #Gençlerbirliği #GSKVTS #Trabzonspor

▫️Tüm Liglerden Goller için Hesabım… https://t.co/CryWcuWb5t"
41,1352994631307431937,"RT @sporx: ⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris (P)

Trabzonspor, Süper Lig'in 21. haftasında deplasmanda Gençlerbirliği'ni 2-1 mağlup etti…"
42,1352994598101123072,"MS |

Gençlerbirliği 1-2 Trabzonspor 

⚽ 36' Djaniny
⚽ 54' Ekuban
⚽ 86' Piris (P)"
43,1352994523757080581,"RT @superhaberspor: 🟣🔵 Trabzonspor yenilmezlik serisini Gençlerbirliği deplasmanında 5 maça çıkardı: 1⃣-2⃣

⚽️ 36' Djaniny Tavares
⚽️ 54' C…"
44,1352994508074577923,"RT @sporarena: Maç sonucu | Gençlerbirliği 1-2 Trabzonspor

⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris(P)

Trabzonspor son 5 maçta 4. galibiyetini…"
45,1352994448523857921,"Süper Lig'in 21. haftasında Trabzonspor deplasmanda Gençlerbirliği'ni 2-1'lik skorla yendi. 

36' Djaniny
54' Ekuba… https://t.co/u5YNoGmPZu"
46,1352994423043465216,"MS| Gençlerbirliği 1-2 Trabzonspor
Goller: Djaniny 36' Ekuban 54' Robert Piris(pen) 86' https://t.co/sWiOjnlBgo"
